:ID,name,name_product,name_chinese,metrics_type,formula_chinese,formula,formula_id,view1,view2,view3,view_id,,
sales_per_share,Sales per Share,Sales per sh,每股销售额,计算指标,营收/期末流通股数,revenue / shares_outstanding,formula_1,企业价值,股东价值,,view_2,,
cash_flow_per_share,Cash Flow per Share,Cash Flow per sh,每股现金流,计算指标,（净利润 + 折旧摊销）/期末流通股数,(net_profit + depreciation_amortization) / shares_outstanding,formula_2,企业价值,股东价值,,view_2,,
eps,Earnings per Share,EPS,每股收益,计算指标,净利润/稀释后平均流通股数,net_profit / diluted_shares_outstanding,formula_3,企业价值,股东价值,,view_2,,
dividends_per_share,Dividends Declared per Share,Div'ds Decl'd per sh,每股分红,计算指标,股息总额 /稀释后平均流通股数,total_dividends / diluted_shares_outstanding,formula_4,企业价值,股东价值,,view_2,,
cap_spending_per_share,Capital Spending per Share,Cap'l Spending per sh,每股资本支出,计算指标,CapEx /期末流通股数,capital_expenditure / shares_outstanding,formula_5,企业价值,股东价值,,view_2,,
book_value_per_share,Book Value per Share,Book Value per sh,每股账面价值,计算指标,净资产/期末流通股数,shareholders_equity / shares_outstanding,formula_6,企业价值,股东价值,,view_2,,
shares_outstanding,Common Shares Outstanding,Common Shs Outst'g,期末流通股数,基础指标,,,,企业价值,股东价值,,view_2,,
avg_pe_ratio,Average Annual Price-Earnings Ratio,Avg Ann'l P/E Ratio,平均市盈率,计算指标,年平均价格/EPS,average_annual_price / eps,formula_7,估值水平,市盈率,,view_5,,
relative_pe_ratio,Relative Price-Earnings Ratio,Relative P/E Ratio,相对市盈率,计算指标,公司PE/市场平均PE,avg_pe_ratio / market_avg_pe,formula_8,估值水平,市盈率,,view_5,,
avg_dividend_yield,Average Annual Dividend Yield,Avg Ann'l Div'd Yield,平均分红率,计算指标,年股息/平均股价,annual_dividends / average_share_price,formula_9,估值水平,股息,,view_6,,
revenue,Revenue,Revenue,营收,基础指标,,,,企业价值,营收水平,,view_7,,
operating_margin,Operating Margin,Operating Margin,营业利润率,计算指标,EBITDA/Revenue=（营业利润+折旧摊销）/营收,(operating_income + depreciation_amortization) / revenue,formula_10,企业价值,营收水平,,view_7,,
depreciation_amortization,Depreciation&Amortization,Depreciation,折旧摊销,基础指标,,,,企业价值,现金流水平,,view_8,,
net_profit,Net Profit,Net Profit,净利润,计算指标,Pretax Income - Income Tax=Operating Income-Interest +Other Expenses- Income Tax,pretax_income - income_tax,formula_11,企业价值,现金流水平,,view_8,,
income_tax_rate,Income Tax Rate,Income Tax Rate,税率,计算指标,Income Tax / Pretax Income,income_tax / pretax_income,formula_12,企业价值,净利润水平,,view_9,,
net_profit_margin,Net Profit Margin,Net Profit Margin,净利润率,计算指标,净利润/营收,net_profit / revenue,formula_13,企业价值,净利润水平,,view_9,,
working_capital,Working Capital,Working Cap'l,营运资本,计算指标,流动资产 − 流动负债,current_assets - current_liability,formula_14,企业价值,资本结构健康度,流动资本安全性,view_12,,
long_term_debt,Long-Term Debt,LT Debt,长期负债,基础指标,,,,企业价值,资本结构健康度,,view_10,,
shareholders_equity,Shareholders' Equity,Shr. Equity,股东权益,基础指标,,,,企业价值,资本结构健康度,,view_10,,
return_on_total_capital,Return on Shareholders' Equity,ROE,净资产回报率,计算指标,净利润/股东权益,net_profit / shareholders_equity,formula_15,企业价值,资本回报率,,view_13,,
roe,Return on Total Capital,ROTC,总资本回报率,计算指标,净利润+LT Debt*利率*（1-税率）,(net_profit + long_term_debt * 0.04 * (1 - income_tax_rate)) / (long_term_debt + shareholders_equity),formula_16,企业价值,资本回报率,,view_13,,
retained_earnings_to_equity,Retained Earnings to Common Equity,Retained to Com Eq,留存收益比,计算指标,Retained Earnings / Shr. Equity,retained_earnings / shareholders_equity,formula_17,企业价值,资本分配效率,,view_14,,
dividends_to_net_profit,All Dividends to Net Profit,All Div'ds to Net Prof,股息占净利润比例,计算指标,年股息/净利润,total_dividends / net_profit,formula_18,企业价值,资本分配效率,,view_14,,
recent_price,Recent Price,Recent Price,最新股价,基础指标,,,,估值水平,股价,,view_15,,
median_pe,Median P/E,Median P/E,中位数,计算指标,历史市盈率中位数,,,估值水平,市盈率,,view_5,,
beta,Beta,Beta,贝塔,计算指标,,,,估值水平,风险水平,,view_16,,
month_open,Month Open Price,Month Open Price,月首个交易日开盘价,基础指标,,,,估值水平,股价,,view_15,,
month_close,Month Close Price,Month Close Price,月首个交易日收盘价,基础指标,,,,估值水平,股价,,view_15,,
month_high,Month High,Month High,月最高股价,计算指标,取当月最高收盘价,,,估值水平,股价,,view_15,,
month_low,Month Low,Month Low,月最低股价,计算指标,取当月最低收盘价,,,估值水平,股价,,view_15,,
relative_price_strength,Relative Price Strength,RPS,相对股价强度,计算指标,月股价涨幅在总股票池中的百分位,,,估值水平,股价,,view_15,,
percent_shares_traded,Percent shares traded,Percent shares traded,交易量比例,计算指标,月交易量/流通股总数,volume_traded / shares_outstanding,formula_19,估值水平,交易量,,view_17,,
total_debt,Total Debt,Total Debt,总负债,计算指标,长期负债+短期负债,long_term_debt + short_term_debt,formula_20,企业价值,资本结构健康度,Debt结构,view_18,,
uncapitalized_leases,Leases,Uncapitalized,Leases,Uncap.,未资本化租赁,基础指标,,,,企业价值,资本结构健康度,隐形债务,view_19
pension_liability,Pension Liability,Pension Liab.,养老金计划,基础指标,,,,企业价值,资本结构健康度,隐形债务,view_19,,
preferred_stock,Preferred Stock,Pfd Stock,优先股数量,基础指标,,,,企业价值,资本结构健康度,特殊债务,view_20,,
common_stock,Common Stock,Common Stock,普通股数量,基础指标,,,,企业价值,资本结构健康度,股份数量,view_21,,
market_cap,MARKET CAP,MARKET CAP,市值,基础指标,,,,企业价值,资本结构健康度,市值,view_22,,
cash_assets,Cash Assets,Cash Assets,现金资产,计算指标,Cash and cash equivalents+Marketable securities,cash_and_cash_equivalents + marketable_securities,formula_21,企业价值,资本结构健康度,流动资本安全性,view_12,,
receivables,Receivables,Receivables,应收账款,基础指标,,,,企业价值,资本结构健康度,流动资本安全性,view_12,,
inventory_fifo,Inventory (FIFO),Inventory (FIFO),库存,基础指标,,,,企业价值,资本结构健康度,流动资本安全性,view_12,,
other_current_assets,Other Current Assets,Other Current Assets,其他流动资产,计算指标,,,,企业价值,资本结构健康度,流动资本安全性,view_12,,
current_assets,Current Assets,Current Assets,流动资产合计,计算指标,现金资产+营收账款+库存+其他流动资产,cash_assets + receivables + inventory_fifo + other_current_assets,formula_22,企业价值,资本结构健康度,流动资本安全性,view_12,,
accounts_payable,Accts Payable,Accts Payable,应付账款,基础指标,,,,企业价值,资本结构健康度,流动资本安全性,view_12,,
debt_due,Debt Due,Debt Due,应付债务,基础指标,,,,企业价值,资本结构健康度,流动资本安全性,view_12,,
other_current_liability,Other Current Liability,Other Current Liab.,其他流动负债,计算指标,,,,企业价值,资本结构健康度,流动资本安全性,view_12,,
current_liability,Current Liability,Current Liab.,流动负债合计,计算指标,应付账款+应付债务+其他流动负债,accounts_payable + debt_due + other_current_liability,formula_23,企业价值,资本结构健康度,流动资本安全性,view_12,,
sales_growth_10y,Past 10 Years Growth_Sales,Past 10 Yrs Growth_Sales,每股营收增长率（过去10年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
cash_flow_growth_10y,Past 10 Years Growth_Cash Flow,Past 10 Yrs Growth_Cash Flow,每股现金流增长率（过去10年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
earnings_growth_10y,Past 10 Years Growth_Earnings,Past 10 Yrs Growth_Earnings,每股净利润增长率（过去10年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
dividends_growth_10y,Past 10 Years Growth_Dividends,Past 10 Yrs Growth_Dividends,股每股息增长率（过去10年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
book_value_growth_10y,Past 10 Years Growth_Book Value,Past 10 Yrs Growth_Book Value,每股账面价值增长率（过去10年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
sales_growth_5y,Past 5 Years Growth_Sales,Past 5 Yrs Growth_Sales,每股营收增长率（过去5年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
cash_flow_growth_5y,Past 5 Years Growth_Cash Flow,Past 5 Yrs Growth_Cash Flow,每股现金流增长率（过去5年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
earnings_growth_5y,Past 5 Years Growth_Earnings,Past 5 Yrs Growth_Earnings,每股净利润增长率（过去5年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
dividends_growth_5y,Past 5 Years Growth_Dividends,Past 5 Yrs Growth_Dividends,股每股息增长率（过去5年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
book_value_growth_5y,Past 5 Years Growth_Book Value,Past 5 Yrs Growth_Book Value,每股账面价值增长率（过去5年）,计算指标,,,,企业价值,股东价值,增长率,view_23,,
quarterly_revenue,Quarterly Revenues,Quarterly Revenues,季度营收,基础指标,,,,企业价值,营收水平,季度营收,view_24,,
quarterly_eps,QUARTERLY Earnings per Share,Quarterly EPS,季度每股收益,基础指标,,,,企业价值,股东价值,季度股东价值,view_25,,
quarterly_dividends,Quarterly Dividends Paid,Quarterly Dividends Paid,季度股息,基础指标,,,,估值水平,股息,季度股息,view_26,,